"key","en"
"TOTAL_TIME","Total Time"
"DISCLAIMER1","This is a free fangame.\n\nIt is not affiliated, associated, authorized, endorsed or in any way officially connected with Capcom or any of it's subsidiaries or it's affiliates.\n\nMega Man X is a property of Capcom.\nPlease support the official release!"
"MADE_BY","A solo project by"
"INSPIRED_BY","Inspired by"
"SPECIALTHANKSTEXT","This mod was made by Zashiko\n\nAnd decompiled by pirate\n\nSpecial thanks to all of the mod's contributors and testers.\nRetranslations by: ElevenSSF2 (Mint)\n\nProject cleanup by: Rafael Setragni & Claude (AI)"
"16-BIT_TITLE","16-bit"
"OPTIONS_START","OPTION MODE"
"KEYCFG_START","KEY CONFIG"
"GAME_START","GAME START"
"GAME_START_NORMAL","NORMAL MODE"
"GAME_START_ROOKIE","ROOKIE MODE"
"GAME_START_HARD","HARD MODE"
"GAME_START_INSANITY","INSANITY MODE"
"GAME_START_NINJA","NINJA GAIDEN MODE"
"LOAD_GAME","LOAD GAME"
"ON_VALUE","ON"
"ON_VALUE_B","ALT"
"OFF_VALUE","OFF"
"EXIT_BUTTON","Exit"
"ARMORSETUP_TITLE","Armor Setup"
"LOADOUT_DISC","Choose your loadout."
"DEFAULTHEAD_NAME","Default Head"
"DEFAULTHEAD_DISC","Default part."
"DEFAULTBODY_NAME","Defaul Body"
"DEFAULTBODY_DISC","Default part."
"DEFAULTARMS_NAME","Default Buster"
"DEFAULTARMS_DISC","Default part."
"DEFAULTLEGS_NAME","Default Foot"
"DEFAULTLEGS_DISC","Default part. Can air dash."
"HERMESHEAD_NAME","Head Parts H"
"HERMESHEAD_DISC","Charges buster shot faster."
"HERMESBODY_NAME","Body Parts H"
"HERMESBODY_DISC","Buster hits heal damage taken."
"HERMESARMS_NAME","Buster Parts H"
"HERMESARMS_DISC","Weapon shots consume no ammo."
"HERMESLEGS_NAME","Foot Parts H"
"HERMESLEGS_DISC","Invincibility while Dashing."
"ICARUSHEAD_NAME","Head Parts I"
"ICARUSHEAD_DISC","Creates damaging area during jump."
"ICARUSBODY_NAME","Body Parts I"
"ICARUSBODY_DISC","Immune to knockback."
"ICARUSARMS_NAME","Buster Parts I"
"ICARUSARMS_DISC","Charged shots consume no ammo."
"ICARUSLEGS_NAME","Foot Parts I"
"ICARUSLEGS_DISC","High Jump & Double Air Dash."
"ULTIMATEHEAD_NAME","Head Parts U"
"ULTIMATEHEAD_DISC","Damaging area during jump and faster Charge."
"ULTIMATEBODY_NAME","Body Parts U"
"ULTIMATEBODY_DISC","No knockback and Buster heals damage taken."
"ULTIMATEARMS_NAME","Ultimate Buster"
"ULTIMATEARMS_DISC","Shots consume no ammo."
"ULTIMATELEGS_NAME","Foot Parts U"
"ULTIMATELEGS_DISC","Improved mobility and Invincible Dash."
"AXLNORMAL_NAME","Standard Armor"
"AXLNORMAL_DISC","Without special abilities."
"AXLWHITE_NAME","???"
"AXLWHITE_DISC","Overall buffs."
"TANK_ABV","SUB.T"
"OPTIONS_ABV","OPTIONS"
"KEYCFG_ABV","KEYCFG"
"ACHIEV_ABV","Achiev"
"X_WPNMENU","X. Buster"
"SUNFLOWER_WPNMENU","O. Shield"
"ANTONION_WPNMENU","S. Bomb"
"MANTIS_WPNMENU","D. Arrow"
"MANOWAR_WPNMENU","T. Dancer"
"PANDA_WPNMENU","B. Launcher"
"TRILOBYTE_WPNMENU","C. Bouncer"
"YETI_WPNMENU","D. Diamond"
"ROOSTER_WPNMENU","F. Dash"
"AXL_WPNMENU","Axl Bullet"
"SUNFLOWER_AXL_WPNMENU","Ray Gun"
"ANTONION_AXL_WPNMENU","Spiral Magnum"
"MANTIS_AXL_WPNMENU","Black Arrow"
"MANOWAR_AXL_WPNMENU","Plasma Gun"
"PANDA_AXL_WPNMENU","Blast Launcher"
"TRILOBYTE_AXL_WPNMENU","Bound Blaster"
"YETI_AXL_WPNMENU","Ice Gattling"
"ROOSTER_AXL_WPNMENU","Flame Burner"
"SUNFLOWER_ZERO_WPNMENU","Tenshouha"
"ANTONION_ZERO_WPNMENU","Juuhazan"
"MANTIS_ZERO_WPNMENU","Rasetsusen"
"MANOWAR_ZERO_WPNMENU","Raikousen"
"PANDA_ZERO_WPNMENU","Youdantotsu"
"TRILOBYTE_ZERO_WPNMENU","Rekkyoudan"
"YETI_ZERO_WPNMENU","Hyouryuushou"
"ROOSTER_ZERO_WPNMENU","Enkoujin"
"SUNFLOWER_ZERO_DISC","Down + Shot 2"
"ANTONION_ZERO_DISC","Shot 2"
"MANTIS_ZERO_DISC","Shot 2 (Air)"
"MANOWAR_ZERO_DISC","Dash + Shot 2"
"PANDA_ZERO_DISC","Left/Right + Shot 2"
"TRILOBYTE_ZERO_DISC","Passive"
"YETI_ZERO_DISC","Up + Shot 2"
"ROOSTER_ZERO_DISC","Down + Shot 2 (Air)"
"ZERO_WPNMENU","Z-Saber"
"BFAN_WPNMENU","B-Fan"
"DGLAIVE_WPNMENU","D-Glaive"
"TBREAKER_WPNMENU","T-Breaker"
"KKNUCKLE_WPNMENU","K-Knuckle"
"VHANGER_WPNMENU","V-Hanger"
"SIGMABLADE_WPNMENU","Sigma-Blade"
"YOUGOT_TITLE","You got"
"SUNFLOWER_WEAPON","Optic Shield"
"ANTONION_WEAPON","Squeeze Bomb"
"MANTIS_WEAPON","Dark Arrow"
"MANOWAR_WEAPON","Thunder Dancer"
"PANDA_WEAPON","Blast Launcher"
"TRILOBYTE_WEAPON","Crystal Bouncer"
"YETI_WEAPON","Drift Diamond"
"ROOSTER_WEAPON","Fire Dash"
