"key","es"
"TOTAL_TIME","Tiempo total"
"DISCLAIMER1","Este es un fangame gratuito.\n\nNo está afiliado, asociado, autorizado, respaldado ni de ninguna manera oficialmente conectado con Capcom o cualquiera de sus filiales o afiliados.\n\nMega Man X es una propiedad de Capcom.\n¡Por favor, apoya el lanzamiento oficial!"
"MADE_BY","Un proyecto hecho solo por"
"INSPIRED_BY","Inspirado por"
"SPECIALTHANKSTEXT","Este mod fue hecho por Zashiko.\n\nY decompilado por pirate\nLimpieza del proyecto por: Rafael Setragni & Claude (IA)\n\nAgradecimentos especiales a todos los contribuidores y testers del mod.\nTraducción: ElevenSSF2 (Mint) & Tchy"
"16-BIT_TITLE","16-bit"
"OPTIONS_START","MODO DE OPCIONES"
"KEYCFG_START","CONFIGURAR CONTROLES"
"GAME_START","INICIAR JUEGO"
"GAME_START_NORMAL","MODO NORMAL"
"GAME_START_ROOKIE","MODO NOVATO"
"GAME_START_HARD","MODO DIFÍCIL"
"GAME_START_INSANITY","MODO INSANO"
"GAME_START_NINJA","MODO NINJA GAIDEN"
"LOAD_GAME","CARGAR PARTIDA"
"ON_VALUE","ON"
"ON_VALUE_B","Alt."
"OFF_VALUE","OFF"
"EXIT_BUTTON","Salir"
"ARMORSETUP_TITLE","Armadura"
"LOADOUT_DISC","Elige Tu Armadura"
"DEFAULTHEAD_NAME","Casco Estandar"
"DEFAULTHEAD_DISC","Parte Estandar."
"DEFAULTBODY_NAME","Peto Estandar"
"DEFAULTBODY_DISC","Parte Estandar."
"DEFAULTARMS_NAME","Buster Estandar"
"DEFAULTARMS_DISC","Parte Estandar."
"DEFAULTLEGS_NAME","Botas Estandar"
"DEFAULTLEGS_DISC","Parte Estandar. Dash Aéreo"
"HERMESHEAD_NAME","Cabeza H"
"HERMESHEAD_DISC","Carga más rápido."
"HERMESBODY_NAME","Cuerpo H"
"HERMESBODY_DISC","Los golpes del Buster curan el daño recibido."
"HERMESARMS_NAME","Buster H"
"HERMESARMS_DISC","Los disparos del Arma no consumen munición."
"HERMESLEGS_NAME","Botas H"
"HERMESLEGS_DISC","Invencible con Dash."
"ICARUSHEAD_NAME","Cabeza I"
"ICARUSHEAD_DISC","Crea un área dañina durante el salto."
"ICARUSBODY_NAME","Cuerpo I"
"ICARUSBODY_DISC","Inmune al empujo al recibir daño."
"ICARUSARMS_NAME","Buster I"
"ICARUSARMS_DISC","Tiros cargados no consumen munición."
"ICARUSLEGS_NAME","Botas I"
"ICARUSLEGS_DISC","Salto alto y Dash aéreo."
"ULTIMATEHEAD_NAME","Cabeza U"
"ULTIMATEHEAD_DISC","Crea un área dañina y carga más rápido."
"ULTIMATEBODY_NAME","Cuerpo U"
"ULTIMATEBODY_DISC","Inmune al empujo y Buster curan daño."
"ULTIMATEARMS_NAME","Ultimate Buster"
"ULTIMATEARMS_DISC","Tiros no consumen munición."
"ULTIMATELEGS_NAME","Botas U"
"ULTIMATELEGS_DISC","Movilidad mejorada y Dash Invencible."
"AXLNORMAL_NAME","Peto Estándar"
"AXLNORMAL_DISC","Sin habilidades especiales."
"AXLWHITE_NAME","???"
"AXLWHITE_DISC","Mejoras adicionales."
"TANK_ABV","SUB.T"
"OPTIONS_ABV","OPCIONES"
"KEYCFG_ABV","CONFIG"
"ACHIEV_ABV","Logros"
"X_WPNMENU","X. Buster"
"SUNFLOWER_WPNMENU","O. Shield"
"ANTONION_WPNMENU","S. Bomb"
"MANTIS_WPNMENU","D. Arrow"
"MANOWAR_WPNMENU","T. Dancer"
"PANDA_WPNMENU","B. Launcher"
"TRILOBYTE_WPNMENU","C. Bouncer"
"YETI_WPNMENU","D. Diamond"
"ROOSTER_WPNMENU","F. Dash"
"AXL_WPNMENU","Axl Bullet"
"SUNFLOWER_AXL_WPNMENU","Ray Gun"
"ANTONION_AXL_WPNMENU","Spiral Magnum"
"MANTIS_AXL_WPNMENU","Black Arrow"
"MANOWAR_AXL_WPNMENU","Plasma Gun"
"PANDA_AXL_WPNMENU","Blast Launcher"
"TRILOBYTE_AXL_WPNMENU","Bound Blaster"
"YETI_AXL_WPNMENU","Ice Gattling"
"ROOSTER_AXL_WPNMENU","Flame Burner"
"SUNFLOWER_ZERO_WPNMENU","Tenshouha"
"ANTONION_ZERO_WPNMENU","Juuhazan"
"MANTIS_ZERO_WPNMENU","Rasetsusen"
"MANOWAR_ZERO_WPNMENU","Raikousen"
"PANDA_ZERO_WPNMENU","Youdantotsu"
"TRILOBYTE_ZERO_WPNMENU","Rekkyoudan"
"YETI_ZERO_WPNMENU","Hyouryuushou"
"ROOSTER_ZERO_WPNMENU","Enkoujin"
"SUNFLOWER_ZERO_DISC","Abajo + Disparo 2"
"ANTONION_ZERO_DISC","Disparo 2"
"MANTIS_ZERO_DISC","Disparo 2 (aire)"
"MANOWAR_ZERO_DISC","Dash + Disparo 2"
"PANDA_ZERO_DISC","Izq./dere. + Disparo 2"
"TRILOBYTE_ZERO_DISC","pasiva"
"YETI_ZERO_DISC","Arriba + Disparo 2"
"ROOSTER_ZERO_DISC","Abajo + Disparo 2 (aire)"
"ZERO_WPNMENU","Sable Z"
"BFAN_WPNMENU","B-Fan"
"DGLAIVE_WPNMENU","D-Glaive"
"TBREAKER_WPNMENU","T-Breaker"
"KKNUCKLE_WPNMENU","K-Knuckle"
"VHANGER_WPNMENU","V-Hanger"
"SIGMABLADE_WPNMENU","Sigma-Blade"
"YOUGOT_TITLE","Obtienes"
"SUNFLOWER_WEAPON","Optic Shield"
"ANTONION_WEAPON","Squeeze Bomb"
"MANTIS_WEAPON","Dark Arrow"
"MANOWAR_WEAPON","Thunder Dancer"
"PANDA_WEAPON","Blast Launcher"
"TRILOBYTE_WEAPON","Crystal Bouncer"
"YETI_WEAPON","Drift Diamond"
"ROOSTER_WEAPON","Fire Dash"
"OPTIONS_TITLE","OPCIONES"
"LANGUAGE_OPTION","Idioma"
"BOSS_REMIX_OPTION","Remix de jefe"
"REMIX_OPTION","Remix 16-bit"
"DT_DASH_OPTION","2x toque para Dash"
"SKIP_DIAG_OPTION","Diálogos Omitibles"
"CHARGE_OPTION","Sonido de Carga Gradual"
"ACHIEV_OPTION","Mostrar Logros"
"MUSIC_OPTION","Volumen de la Música"
"SOUND_OPTION","Volumen de los Sonidos"
"VSync","VSync"
"FPS_OPTION","FPS Objetivo"
"FPS_PHYSICS_OPTION","FPS de física"
"FPS_UNCAPPED","Ilimitado"
"WSIZE_OPTION","Tamaño de la Ventana"
"FULLSCREEN_OPTION","Pantalla Completa"
"STRETCH_OPTION","Estiramiento"
"STRETCH_OPTION_VIEWPORT","Sin interpolación"
"STRETCH_OPTION_2D","Interpolado"
"CRT_OPTION","Filtro CRT"
"LIGHT_VALUE","Tenue"
"STRONG_VALUE","Fuerte"
"DEBUG_OPTION","Mostrar Debug"
"SHOWIGT_OPTION","Muestra el tiempo"
"GATEWAYSKIP_OPTION","Gateway Skip"
"ASPECT_OPTION","Relación de aspecto"
"IGNORE_VALUE","No"
"KEEP_VALUE","Sí"
"KEYCFG_TITLE","CONFIGURACIÓN DE BOTONES"
"EXIT_MAINMENU","Volver a pantalla de titulo"
"ACTION_CTG","Acción"
"KEYBOARD_CTG","Teclado"
"JOYPAD_CTG","Mando"
"LEFT_ACT","Izquierda"
"RIGHT_ACT","Derecha"
"NEWGAME_OPTION","Nuevo juego+"
"CLEARSAVE_OPTION","Borrar Juego Guardado y Reiniciar"
"CLEARSAVE_CONFIRM","Presiona Nuevamente Para Confirmar"
"RESET_ACHIEV","Borrar Progreso de Logros"
"CLEARSAVE_CONFIRM","Presiona Nuevamente Para Confirmar"
"RESET_ACHIEV_FINISHED","Progreso de Logros Apagado"
"UP_ACT","Arriba"
"DOWN_ACT","Abajo"
"SHOT_ACT","Disparo"
"SHOT2_ACT","Disparo2"
"JUMP_ACT","Salto"
"DASH_ACT","Dash"
"ARMORABILITY_ACT","Hab. Armadura"
"PREV_ACT","Arma Anterior"
"NEXT_ACT","Arma Siguiente"
"PAUSE_ACT","Pausar"
"CONFIRM_ACT","Confirmar"
"WPNLEFT_ACT","Rueda Izq."
"WPNRIGHT_ACT","Rueda Der."
"WPNUP_ACT","Rueda Arriba"
"WPNDOWN_ACT","Rueda Abajo"
"WPNRESET_ACT","Selec. Buster"
"ACHIEV_SCREEN_TITLE","Logros"
"ACHIEVEMENTSUNLOCKED","Logros Desbloqueados"
"DEBUGACHIEVTITLE","Logro Bloqueado..."
"DEBUGACHIEVDISC","Usaste Modo Debug."
"BEATINTRO_DISC","Derrotaste al Jefe del Parque de Noah"
"BEATINTRO_TITLE","Bueno verte de nuevo"
"COLLECTALLHEARTS_DISC","Recolectaste todos los corazones."
"COLLECTALLHEARTS_TITLE","Strider"
"COLLECTALLSUBTANKS_DISC","Recolectaste todos los Sub Tanques."
"COLLECTALLSUBTANKS_TITLE","Virtue's Last Reward"
"COLLECTFULLHERMES_DISC","Recolectaste todas las partes de la Armadura Hermes."
"COLLECTFULLHERMES_TITLE","Borrador de almas"
"COLLECTFULLICARUS_DISC","Recolectaste todas las partes de la Armadura Icarus."
"COLLECTFULLICARUS_TITLE","Misión de mando"
"SURFEDONMISSILE_DISC","Surfeaste por los cielos durante 6 segundos."
"SURFEDONMISSILE_TITLE","Bomb Rush Cyberfunk"
"DEFEATEDALL_DISC","Derrotaste a los 8 Jefes."
"DEFEATEDALL_TITLE","El Elevador Orbital"
"DEFEATEDANY_DISC","Derrotaste a cualquiera de los Jefes."
"DEFEATEDANY_TITLE","La Nueva Generación"
"GIGACRUSHKILL_DISC","Derrotaste a un Jefe usando el Giga Crash."
"GIGACRUSHKILL_TITLE","Cataclismo"
"PELEDOSGAMES_DISC","Malabareaste la armadura por un tiempo despues de vencer al jefe."
"PELEDOSGAMES_TITLE","Pelé de los juegos"
"PERFECTKILL_DISC","Derrotaste a cualquier jefe sin usar armas especiales, sin recibir daño y sin mejoras."
"PERFECTKILL_TITLE","La Marca de los lobos"
