"key","hi"
"TOTAL_TIME","कुल समय"
"DISCLAIMER1","यह एक मुफ्त फैनगेम है।\n\nयह Capcom या उसकी किसी भी सहायक कंपनी से संबद्ध, अधिकृत, समर्थित या किसी भी तरह से आधिकारिक रूप से जुड़ा नहीं है।\n\nMega Man X, Capcom की संपत्ति है।\nकृपया आधिकारिक रिलीज़ का समर्थन करें!"
"MADE_BY","एक व्यक्ति की परियोजना"
"INSPIRED_BY","से प्रेरित"
"SPECIALTHANKSTEXT","यह मॉड Zashiko द्वारा बनाया गया था\n\nऔर pirate द्वारा डीकंपाइल किया गया\nप्रोजेक्ट क्लीनअप: Rafael Setragni & Claude (AI)\n\nमॉड के सभी योगदानकर्ताओं और परीक्षकों को विशेष धन्यवाद।\nपुनः अनुवाद: ElevenSSF2 (Mint)"
"16-BIT_TITLE","16-bit"
"OPTIONS_START","विकल्प मोड"
"KEYCFG_START","कुंजी विन्यास"
"GAME_START","गेम शुरू करें"
"GAME_START_NORMAL","सामान्य मोड"
"GAME_START_ROOKIE","नौसिखिया मोड"
"GAME_START_HARD","कठिन मोड"
"GAME_START_INSANITY","पागलपन मोड"
"GAME_START_NINJA","NINJA GAIDEN मोड"
"LOAD_GAME","गेम लोड करें"
"ON_VALUE","चालू"
"ON_VALUE_B","वैकल्पिक"
"OFF_VALUE","बंद"
"EXIT_BUTTON","बाहर"
"ARMORSETUP_TITLE","आर्मर सेटअप"
"LOADOUT_DISC","अपना लोडआउट चुनें।"
"DEFAULTHEAD_NAME","डिफ़ॉल्ट हेड"
"DEFAULTHEAD_DISC","डिफ़ॉल्ट पार्ट।"
"DEFAULTBODY_NAME","डिफ़ॉल्ट बॉडी"
"DEFAULTBODY_DISC","डिफ़ॉल्ट पार्ट।"
"DEFAULTARMS_NAME","डिफ़ॉल्ट बस्टर"
"DEFAULTARMS_DISC","डिफ़ॉल्ट पार्ट।"
"DEFAULTLEGS_NAME","डिफ़ॉल्ट फुट"
"DEFAULTLEGS_DISC","डिफ़ॉल्ट पार्ट। एयर डैश कर सकता है।"
"HERMESHEAD_NAME","हेड पार्ट्स H"
"HERMESHEAD_DISC","बस्टर शॉट तेज़ी से चार्ज होता है।"
"HERMESBODY_NAME","बॉडी पार्ट्स H"
"HERMESBODY_DISC","बस्टर हिट से हुई क्षति ठीक होती है।"
"HERMESARMS_NAME","बस्टर पार्ट्स H"
"HERMESARMS_DISC","हथियार शॉट्स गोला-बारूद खर्च नहीं करते।"
"HERMESLEGS_NAME","फुट पार्ट्स H"
"HERMESLEGS_DISC","डैश के दौरान अजेयता।"
"ICARUSHEAD_NAME","हेड पार्ट्स I"
"ICARUSHEAD_DISC","कूदते समय नुकसान पहुँचाने वाला क्षेत्र बनाता है।"
"ICARUSBODY_NAME","बॉडी पार्ट्स I"
"ICARUSBODY_DISC","नॉकबैक से प्रतिरक्षा।"
"ICARUSARMS_NAME","बस्टर पार्ट्स I"
"ICARUSARMS_DISC","चार्ज शॉट्स गोला-बारूद खर्च नहीं करते।"
"ICARUSLEGS_NAME","फुट पार्ट्स I"
"ICARUSLEGS_DISC","ऊँची कूद और डबल एयर डैश।"
"ULTIMATEHEAD_NAME","हेड पार्ट्स U"
"ULTIMATEHEAD_DISC","कूद में नुकसान क्षेत्र और तेज़ चार्ज।"
"ULTIMATEBODY_NAME","बॉडी पार्ट्स U"
"ULTIMATEBODY_DISC","नॉकबैक नहीं और बस्टर से क्षति ठीक होती है।"
"ULTIMATEARMS_NAME","अल्टीमेट बस्टर"
"ULTIMATEARMS_DISC","शॉट्स गोला-बारूद खर्च नहीं करते।"
"ULTIMATELEGS_NAME","फुट पार्ट्स U"
"ULTIMATELEGS_DISC","बेहतर गतिशीलता और अजेय डैश।"
"AXLNORMAL_NAME","स्टैंडर्ड आर्मर"
