"key","it"
"TOTAL_TIME","Quanto Tempo Ci Hai Messo"
"DISCLAIMER1","Questo gioco e' un fangame GRATIS.\n\nNon e' affiliato, associato, autorizzato o in alcun modo ufficialmente collegato con Capcom.\n\nMega Man X e' proprieta' di Capcom.\nSupportate i giochi originali, dai!"
"MADE_BY","Fatto tutto da solo, mamma mia"
"INSPIRED_BY","Ispirato da"
"SPECIALTHANKSTEXT","Questa mod e' stata fatta da Zashiko\n\nE decompilata da pirate\nGioco turbinato da: Rafael Setragni & Claude (IA)\n\nGrazie a tutti i contributor e tester.\nRetranslations by: ElevenSSF2 (Mint)"
"16-BIT_TITLE","Entra nella cartuccia, fidati"
"OPTIONS_START","TOCCA LE IMPOSTAZIONI"
"KEYCFG_START","CONFIGURA I TASTI"
"GAME_START","ANDIAMO CHE SI GIOCA"
"GAME_START_NORMAL","NORMALE"
"GAME_START_ROOKIE","MAMMONE"
"GAME_START_HARD","TOSTO"
"GAME_START_INSANITY","MA SEI PAZZO?"
"GAME_START_NINJA","LASCIATE OGNI SPERANZA!"
"LOAD_GAME","CARICA SALVATAGGIO"
"ON_VALUE","Acceso"
"ON_VALUE_B","MOZZARELLA"
"OFF_VALUE","Spento"
"EXIT_BUTTON","Esci"
"ARMORSETUP_TITLE","Vestiti Bene"
"LOADOUT_DISC","Scegli il tuo outfit, bello."
"DEFAULTHEAD_NAME","Casco Base"
"DEFAULTHEAD_DISC","Pezzo base."
"DEFAULTBODY_NAME","Corpo Base"
"DEFAULTBODY_DISC","Pezzo base."
"DEFAULTARMS_NAME","Buster Base"
"DEFAULTARMS_DISC","Pezzo base."
"DEFAULTLEGS_NAME","Piedi Base"
"DEFAULTLEGS_DISC","Pezzo base. Dash aereo."
"HERMESHEAD_NAME","Casco H"
"HERMESHEAD_DISC","Carica il buster piu' veloce."
"HERMESBODY_NAME","Corpo H"
"HERMESBODY_DISC","Colpisci nemici e ti curi. Magia!"
"HERMESARMS_NAME","Buster H"
"HERMESARMS_DISC","Le armi non consumano munizioni. Gratis!"
"HERMESLEGS_NAME","Piedi H"
"HERMESLEGS_DISC","Invincibile durante il dash."
"ICARUSHEAD_NAME","Casco I"
"ICARUSHEAD_DISC","Salti e fai danno. Bella roba."
"ICARUSBODY_NAME","Corpo I"
"ICARUSBODY_DISC","Nessun rinculo. Sei un muro."
"ICARUSARMS_NAME","Buster I"
"ICARUSARMS_DISC","Colpi caricati gratis."
"ICARUSLEGS_NAME","Piedi I"
"ICARUSLEGS_DISC","Salto alto e doppio dash aereo."
"ULTIMATEHEAD_NAME","Casco U"
"ULTIMATEHEAD_DISC","Danno al salto + carica veloce."
"ULTIMATEBODY_NAME","Corpo U"
"ULTIMATEBODY_DISC","Niente rinculo e colpi che curano."
"ULTIMATEARMS_NAME","Ultimate Buster"
"ULTIMATEARMS_DISC","Tutto gratis, niente munizioni."
"ULTIMATELEGS_NAME","Piedi U"
"ULTIMATELEGS_DISC","Mobilita' massima e dash invincibile."
"AXLNORMAL_NAME","Normalissimo"
"AXLNORMAL_DISC","Nessuna abilita' speciale."
"AXLWHITE_NAME","???"
"AXLWHITE_DISC","Buff su tutto."
"TANK_ABV","TANKI"
"OPTIONS_ABV","OPZIONI"
"KEYCFG_ABV","TASTI"
"ACHIEV_ABV","Trofei"
"X_WPNMENU","Limoncello"
"SUNFLOWER_WPNMENU","Scudo Girasole"
"ANTONION_WPNMENU","Bomba Formica"
"MANTIS_WPNMENU","Freccia Nera"
"MANOWAR_WPNMENU","Danza Elettrica"
"PANDA_WPNMENU","BOOMBA!"
"TRILOBYTE_WPNMENU","Pietra Rimbalzante"
"YETI_WPNMENU","Gelato!"
"ROOSTER_WPNMENU","Pollo Arrosto"
"AXL_WPNMENU","Pistola di Axl"
"SUNFLOWER_AXL_WPNMENU","Pistola Laser"
"ANTONION_AXL_WPNMENU","Magnum Spirale"
"MANTIS_AXL_WPNMENU","Freccia Nera"
"MANOWAR_AXL_WPNMENU","Pistola Plasma"
"PANDA_AXL_WPNMENU","Lanciarazzi della Nonna"
"TRILOBYTE_AXL_WPNMENU","Blaster Rimbalzante"
"YETI_AXL_WPNMENU","Mitraglietta Gelato"
"ROOSTER_AXL_WPNMENU","Lanciafiamme"
"SUNFLOWER_ZERO_WPNMENU","TENSHOUHA! MAMMA MIA!"
"ANTONION_ZERO_WPNMENU","Zio Gravita'"
"MANTIS_ZERO_WPNMENU","Giro della Morte"
"MANOWAR_ZERO_WPNMENU","Fulmine di Giove"
"PANDA_ZERO_WPNMENU","Bastone di Bambu'"
"TRILOBYTE_ZERO_WPNMENU","Lancia Sassi"
"YETI_ZERO_WPNMENU","Ghiaccio Reale"
"ROOSTER_ZERO_WPNMENU","Lama Infernale"
"SUNFLOWER_ZERO_DISC","Giu' + Tiro 2"
"ANTONION_ZERO_DISC","Tiro 2"
"MANTIS_ZERO_DISC","Tiro 2 (Aria)"
"MANOWAR_ZERO_DISC","Dash + Tiro 2"
"PANDA_ZERO_DISC","Sinistra/Destra + Tiro 2"
"TRILOBYTE_ZERO_DISC","Passivo, si fa da solo"
"YETI_ZERO_DISC","Su + Tiro 2"
"ROOSTER_ZERO_DISC","Giu' + Tiro 2 (Aria)"
"ZERO_WPNMENU","Spada Z"
"BFAN_WPNMENU","Ventaglio"
"DGLAIVE_WPNMENU","Alabarda"
"TBREAKER_WPNMENU","Martello"
"KKNUCKLE_WPNMENU","Pugni"
"VHANGER_WPNMENU","V-Lama"
"SIGMABLADE_WPNMENU","Spada di Sigma"
"YOUGOT_TITLE","Hai Beccato"
"SUNFLOWER_WEAPON","Scudo Girasole"
"ANTONION_WEAPON","Bomba Formica"
"MANTIS_WEAPON","Freccia Nera"
"MANOWAR_WEAPON","Danza Elettrica"
"PANDA_WEAPON","BOOMBA!"
"TRILOBYTE_WEAPON","Pietra Rimbalzante"
"YETI_WEAPON","Gelato!"
"ROOSTER_WEAPON","Pollo Arrosto"
"OPTIONS_TITLE","ATTENTO A NON ROMPERE TUTTO"
"LANGUAGE_OPTION","Lingua"
"BOSS_REMIX_OPTION","Boss Remix"
"REMIX_OPTION","16-bit Remix"
"DT_DASH_OPTION","Doppio tap per il dash"
"SKIP_DIAG_OPTION","Chi legge i dialoghi?"
"CHARGE_OPTION","Effetto carica"
"ACHIEV_OPTION","Mostra Trofei"
"MUSIC_OPTION","Volume Musica"
"SOUND_OPTION","Volume Effetti"
"VSync","VSync e che cos'e'?"
"FPS_OPTION","Il tuo PC ce la fa?"
"FPS_PHYSICS_OPTION","Physics FPS pure?"
"FPS_UNCAPPED","Senza Freni"
"WSIZE_OPTION","Grandezza Finestra"
"FULLSCREEN_OPTION","Schermo Intero"
"STRETCH_OPTION","Modalita' Stretch"
"STRETCH_OPTION_VIEWPORT","Senza interpolazione"
"STRETCH_OPTION_2D","Interpolato"
"CRT_OPTION","Filtro TV Vecchia"
"LIGHT_VALUE","Leggero"
"STRONG_VALUE","Forte!"
"DEBUG_OPTION","Vuoi barare, eh?"
"SHOWIGT_OPTION","Mostra IGT"
"GATEWAYSKIP_OPTION","Vuoi buggare?"
"ASPECT_OPTION","Rapporto Aspetto"
"IGNORE_VALUE","STIRACCHIATO!"
"KEEP_VALUE","Come si deve"
"KEYCFG_TITLE","CONFIGURA I TASTI, DAI"
"EXIT_MAINMENU","Torna al titolo"
"ACTION_CTG","Azione"
"KEYBOARD_CTG","Tastiera"
"JOYPAD_CTG","Controller"
"LEFT_ACT","sinistra"
"RIGHT_ACT","destra"
"NEWGAME_OPTION","Ricominciamo da capo!"
"CLEARSAVE_OPTION","Cancella salvataggio"
"CLEARSAVE_CONFIRM","Premi di nuovo per confermare"
"RESET_ACHIEV","Cancella Trofei"
"CLEARSAVE_CONFIRM","Premi di nuovo per confermare"
"RESET_ACHIEV_FINISHED","Trofei cancellati. Mamma mia..."
"UP_ACT","su"
"DOWN_ACT","giu'"
"SHOT_ACT","sparo"
"SHOT2_ACT","sparo2"
"JUMP_ACT","salto"
"DASH_ACT","dash"
"ARMORABILITY_ACT","attacco spec."
"PREV_ACT","arma precedente"
"NEXT_ACT","arma successiva"
"PAUSE_ACT","pausa"
"CONFIRM_ACT","conferma"
"WPNLEFT_ACT","ruota sinistra"
"WPNRIGHT_ACT","ruota destra"
"WPNUP_ACT","ruota su"
"WPNDOWN_ACT","ruota giu'"
"WPNRESET_ACT","scegli limoncello"
"ACHIEV_SCREEN_TITLE","Trofei"
"ACHIEVEMENTSUNLOCKED","Trofei Sbloccati"
"DEBUGACHIEVTITLE","Trofeo Bloccato..."
"DEBUGACHIEVDISC","Hai usato la modalita' Debug. Baro!"
"BEATINTRO_DISC","Hai sconfitto il boss di Noah's Park."
"BEATINTRO_TITLE","Che piacere rivederti"
"COLLECTALLHEARTS_DISC","Hai raccolto tutti i Heart Tank."
"COLLECTALLHEARTS_TITLE","Cuore di Campione"
"COLLECTALLSUBTANKS_DISC","Hai raccolto tutte le Sub Tank."
"COLLECTALLSUBTANKS_TITLE","La Cantina e' Piena"
"COLLECTFULLHERMES_DISC","Hai raccolto tutte le parti Hermes Armor."
"COLLECTFULLHERMES_TITLE","Mercurio Espresso"
"COLLECTFULLICARUS_DISC","Hai raccolto tutte le parti Icarus Armor."
"COLLECTFULLICARUS_TITLE","Volo di Icaro"
"SURFEDONMISSILE_DISC","Hai surfato su un missile per 6 secondi."
"SURFEDONMISSILE_TITLE","Vespa in Autostrada"
"DEFEATEDALL_DISC","Hai sconfitto tutti gli otto boss Maverick."
"DEFEATEDALL_TITLE","Otto Su Otto"
"DEFEATEDANY_DISC","Hai sconfitto un boss Maverick qualsiasi."
"DEFEATEDANY_TITLE","Nuova Generazione"
"GIGACRUSHKILL_DISC","Hai finito un boss con il Giga Crash."
"GIGACRUSHKILL_TITLE","GOLAZO!"
"PELEDOSGAMES_DISC","Hai palleggiato l'armatura dopo aver battuto il boss."
"PELEDOSGAMES_TITLE","Fantasista dei Videogiochi"
"PERFECTKILL_DISC","Hai sconfitto un boss senza armi speciali, senza danni e senza upgrade."
"PERFECTKILL_TITLE","Catenaccio Perfetto"
