"key","ja_JP"
"TOTAL_TIME","タイムアタックｗ"
"DISCLAIMER1","これは無料のファンゲームですｗｗｗ\n\nカプコンとは一切関係ないですマジで。\n\nロックマンXはカプコンの著作物です。公式買ってねおまえら。"
"MADE_BY","全部コイツのせい："
"INSPIRED_BY","元ネタ"
"SPECIALTHANKSTEXT","このModは「Zashiko」が作った（神）\n「Pirate」が逆コンパイルした（有能）\nゲームを爆速改造：Rafael Setragni & Claude (AI)\n\n感謝するしかない人たち：\nRubenO.S\nAmeNiki\nGacel\nShaudo\nミント ツインビー(ElevenSSF2)\nTchy\nOlim TR\n\nおまえら応援ありがとなｗｗｗ"
"16-BIT_TITLE","SFCに収まるはず（多分）"
"OPTIONS_START","いじるところ"
"KEYCFG_START","ボタン設定"
"GAME_START","はじめるぞｗ"
"GAME_START_NORMAL","普通"
"GAME_START_ROOKIE","ゆとり"
"GAME_START_HARD","ガチ"
"GAME_START_INSANITY","は？"
"GAME_START_NINJA","死んでこい"
"LOAD_GAME","つづきから"
"ON_VALUE","おん"
"ON_VALUE_B","ALT"
"OFF_VALUE","おふ"
"EXIT_BUTTON","逃げる"
"ARMORSETUP_TITLE","着せ替え"
"LOADOUT_DISC","好きなの選べｗ"
"DEFAULTHEAD_NAME","素のアタマ"
"DEFAULTHEAD_DISC","何もなし"
"DEFAULTBODY_NAME","素のカラダ"
"DEFAULTBODY_DISC","何もなし"
"DEFAULTARMS_NAME","素のウデ"
"DEFAULTARMS_DISC","何もなし"
"DEFAULTLEGS_NAME","素のアシ"
"DEFAULTLEGS_DISC","何もなし。エアダッシュ付き"
"HERMESHEAD_NAME","速いアタマ H"
"HERMESHEAD_DISC","チャージが爆速になるやつ"
"HERMESBODY_NAME","回復カラダ H"
"HERMESBODY_DISC","殴って回復とか吸血鬼かよｗ"
"HERMESARMS_NAME","無限ウデ H"
"HERMESARMS_DISC","弾撃ち放題。チートかな？"
"HERMESLEGS_NAME","無敵アシ H"
"HERMESLEGS_DISC","ダッシュ中無敵とか草"
"ICARUSHEAD_NAME","頭突きアタマ I"
"ICARUSHEAD_DISC","ジャンプで頭突き。痛そう"
"ICARUSBODY_NAME","硬いカラダ I"
"ICARUSBODY_DISC","ダメ半減＆のけぞらない。壁かな？"
"ICARUSARMS_NAME","レーザーウデ I"
"ICARUSARMS_DISC","チャージ撃ち放題。やりたい放題"
"ICARUSLEGS_NAME","飛ぶアシ I"
"ICARUSLEGS_DISC","ハイジャンプ＆空中ダッシュ2回。鳥かよ"
"ULTIMATEHEAD_NAME","最強アタマ U"
"ULTIMATEHEAD_DISC","頭突き＆爆速チャージ。全部盛り"
"ULTIMATEBODY_NAME","最強カラダ U"
"ULTIMATEBODY_DISC","のけぞらない＆吸血バスター。チートじゃんｗ"
"ULTIMATEARMS_NAME","チートバスター"
"ULTIMATEARMS_DISC","武器エネルギー？知らない子ですね"
"ULTIMATELEGS_NAME","最強アシ U"
"ULTIMATELEGS_DISC","速い＆無敵ダッシュ。もう歩くな"
"AXLNORMAL_NAME","いつもの黒"
"AXLNORMAL_DISC","普通のやつ"
"AXLWHITE_NAME","？？？"
"AXLWHITE_DISC","全体的にバフ。つよい（確信）"
"TANK_ABV","回復"
"OPTIONS_ABV","設定"
"KEYCFG_ABV","操作"
"ACHIEV_ABV","実績"
"X_WPNMENU","豆鉄砲"
"SUNFLOWER_WPNMENU","光るバリア"
"ANTONION_WPNMENU","重力ボム"
"MANTIS_WPNMENU","闇の矢（中二）"
"MANOWAR_WPNMENU","ビリビリ"
"PANDA_WPNMENU","ドカーン"
"TRILOBYTE_WPNMENU","石ころ"
"YETI_WPNMENU","かき氷"
"ROOSTER_WPNMENU","火ダッシュ"
"AXL_WPNMENU","パチンコ玉"
"SUNFLOWER_AXL_WPNMENU","光線銃"
"ANTONION_AXL_WPNMENU","ぐるぐるマグナム"
"MANTIS_AXL_WPNMENU","黒い矢（厨二）"
"MANOWAR_AXL_WPNMENU","プラズマ銃"
"PANDA_AXL_WPNMENU","バクダン発射機"
"TRILOBYTE_AXL_WPNMENU","跳ねる弾"
"YETI_AXL_WPNMENU","氷ガトリング"
"ROOSTER_AXL_WPNMENU","火炎放射器"
"SUNFLOWER_ZERO_WPNMENU","天翔覇（ﾃﾝｼｮｳﾊ！）"
"ANTONION_ZERO_WPNMENU","重破斬（ｼﾞｭｳﾊｻﾞﾝ！）"
"MANTIS_ZERO_WPNMENU","羅刹旋（ﾗｾﾂｾﾝ！）"
"MANOWAR_ZERO_WPNMENU","雷光閃（ﾗｲｺｳｾﾝ！）"
"PANDA_ZERO_WPNMENU","葉断突（ﾖｳﾀﾞﾝﾄﾂ！）"
"TRILOBYTE_ZERO_WPNMENU","裂鏡断（ﾚｯｷｮｳﾀﾞﾝ！）"
"YETI_ZERO_WPNMENU","氷竜昇（ﾋｮｳﾘｭｳｼｮｳ！）"
"ROOSTER_ZERO_WPNMENU","炎降刃（ｴﾝｺｳｼﾞﾝ！）"
"SUNFLOWER_ZERO_DISC","下 + ショット2"
"ANTONION_ZERO_DISC","ショット2"
"MANTIS_ZERO_DISC","ショット2"
"MANOWAR_ZERO_DISC","ダッシュ + ショット2"
"PANDA_ZERO_DISC","左右 + ショット2"
"TRILOBYTE_ZERO_DISC","パッシブ（置くだけ）"
"YETI_ZERO_DISC","上 + ショット2"
"ROOSTER_ZERO_DISC","下 + ショット2"
"ZERO_WPNMENU","光る棒"
"BFAN_WPNMENU","うちわ"
"DGLAIVE_WPNMENU","でかい棒"
"TBREAKER_WPNMENU","ハンマー"
"KKNUCKLE_WPNMENU","グーパンチ"
"VHANGER_WPNMENU","ブーメラン"
"SIGMABLADE_WPNMENU","ハゲの剣"
"YOUGOT_TITLE","手に入れたぞｗ"
"SUNFLOWER_WEAPON","光るバリア"
"ANTONION_WEAPON","重力ボム"
"MANTIS_WEAPON","闇の矢（中二）"
"MANOWAR_WEAPON","ビリビリ"
"PANDA_WEAPON","ドカーン"
"TRILOBYTE_WEAPON","石ころ"
"YETI_WEAPON","かき氷"
"ROOSTER_WEAPON","火ダッシュ"
"OPTIONS_TITLE","いじるところ"
"LANGUAGE_OPTION","言語"
"BOSS_REMIX_OPTION","ボス懐メロ"
"REMIX_OPTION","SFC懐メロ"
"DT_DASH_OPTION","格ゲーみたいなダッシュ"
"SKIP_DIAG_OPTION","会話とばす（空気読めない人用）"
"CHARGE_OPTION","チャージ音うるさい問題"
"ACHIEV_OPTION","実績見せびらかし"
"MUSIC_OPTION","BGM音量"
"SOUND_OPTION","SE音量"
"VSync","VSync（知らんけど）"
"FPS_OPTION","FPS（PCの悲鳴が聞こえる）"
"FPS_PHYSICS_OPTION","物理FPS"
"FPS_UNCAPPED","リミッター解除"
"WSIZE_OPTION","画面のでかさ"
"FULLSCREEN_OPTION","全画面"
"STRETCH_OPTION","引き伸ばし"
"STRETCH_OPTION_VIEWPORT","ドット絵のまま"
"STRETCH_OPTION_2D","ぼやける"
"CRT_OPTION","ブラウン管フィルタ"
