"key","br"
"TOTAL_TIME","EspídiRã"
"DISCLAIMER1","Este jogo é um fangame gratuito.\n\nEle não é afiliado, associado, autorizado, aprovado ou oficialmente conectado com a Capcom ou qualquer uma de suas subsidiárias.\n\nMega Man X é propriedade da Capcom.\nPor favor, apoie os jogos oficiais!"
"MADE_BY","A poha toda feita por:"
"INSPIRED_BY","Inspirado pela"
"SPECIALTHANKSTEXT","Essa rom hack foi feita pelo Zashiko\n\nE rehackeada por pirate\nGame tunado por: Rafael Setragni & Claudinho (IA)\n\nObrigado pelo apoio a Rom Hack.\nTradução feita pelo: Pirralho de cabelo verde com 1 ano de idade :3"
"16-BIT_TITLE","Cabe num cartucho, confia que dá"
"OPTIONS_START","MEXER NUNS TRECO"
"KEYCFG_START","MUDAR OS BOTÃO"
"GAME_START","COMEÇAR ESSA PORRA!"
"GAME_START_NORMAL","NORMAL"
"GAME_START_ROOKIE","BEBÊ"
"GAME_START_HARD","É O QUE TEM PRA HOJE"
"GAME_START_INSANITY","VÉI, NA BOA?"
"GAME_START_NINJA","DESISTA DO SEUS SONHOS E MORRA!"
"LOAD_GAME","CARREGAR SAVE STATE"
"ON_VALUE","Ativo"
"ON_VALUE_B","DESPERADOS?"
"OFF_VALUE","Desl."
"EXIT_BUTTON","Vazar"
"ARMORSETUP_TITLE","Fashion Souls"
"LOADOUT_DISC","3 por 15"
"DEFAULTHEAD_NAME","Chifres Padrão"
"DEFAULTHEAD_DISC","Parte padrão."
"DEFAULTBODY_NAME","Petcholas Padrão"
"DEFAULTBODY_DISC","Parte padrão."
"DEFAULTARMS_NAME","Braços Padrão"
"DEFAULTARMS_DISC","Parte padrão."
"DEFAULTLEGS_NAME","Saltos Padrão"
"DEFAULTLEGS_DISC","Parte padrão. Dash aéreo."
"HERMESHEAD_NAME","Par de Chifres H"
"HERMESHEAD_DISC","Carregamento de berro mais rápido."
"HERMESBODY_NAME","Petcholas H"
"HERMESBODY_DISC","Acertar Berros cura dano tomado."
"HERMESARMS_NAME","Berro H"
"HERMESARMS_DISC","Tiros de Peido não gastam munição."
"HERMESLEGS_NAME","Saltos H"
"HERMESLEGS_DISC","Dash invencível."
"ICARUSHEAD_NAME","Par de Chifres I"
"ICARUSHEAD_DISC","Chifradas causa dano em inimigos."
"ICARUSBODY_NAME","Petcholas I"
"ICARUSBODY_DISC","Não é empurrado ao tomar dano."
"ICARUSARMS_NAME","Berro I"
"ICARUSARMS_DISC","Cagados não gastam munição."
"ICARUSLEGS_NAME","Saltos I"
"ICARUSLEGS_DISC","Pulo mais alto e Dash aéreo 2x."
"ULTIMATEHEAD_NAME","Par de Chifres U"
"ULTIMATEHEAD_DISC","Carregue mais rápido e dê chifradas."
"ULTIMATEBODY_NAME","Petcholas U"
"ULTIMATEBODY_DISC","Não é empurrado e Berros curam dano tomado."
"ULTIMATEARMS_NAME","Ultimate Berrão"
"ULTIMATEARMS_DISC","Tiros de Peidos e Cagadas não gastam munição."
"ULTIMATELEGS_NAME","Saltos U"
"ULTIMATELEGS_DISC","Mobilidade aprimorada e Dash Invencível."
"AXLNORMAL_NAME","Preto"
"AXLNORMAL_DISC","Só nos pápápá."
"AXLWHITE_NAME","Branco"
"AXLWHITE_DISC","Cabelin na Régua."
"TANK_ABV","ANTAR."
"OPTIONS_ABV","OPÇÕES"
"KEYCFG_ABV","CONFIG"
"ACHIEV_ABV","Conqst"
"X_WPNMENU","Limão"
"SUNFLOWER_WPNMENU","Bola do Kiko"
"ANTONION_WPNMENU","Black H.Bomb"
"MANTIS_WPNMENU","Racismo"
"MANOWAR_WPNMENU","Ai! Ai!"
"PANDA_WPNMENU","KABOOM!"
"TRILOBYTE_WPNMENU","Pedras"
"YETI_WPNMENU","Sorvete!"
"ROOSTER_WPNMENU","Brasil"
"AXL_WPNMENU","Edson"
"SUNFLOWER_AXL_WPNMENU","Pistola do X7"
"ANTONION_AXL_WPNMENU","357"
"MANTIS_AXL_WPNMENU","Flecha Emo"
"MANOWAR_AXL_WPNMENU","Espirro Eletrico"
"PANDA_AXL_WPNMENU","It's yours my friend"
"TRILOBYTE_AXL_WPNMENU","Gemini Laser gordo"
